date_valued,entry_id,scheme_id,net_asset_value,outstanding_number_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,scheme_name
17/07/2024,1721286720,1,"363,598,470,365.67","346,646,794.47","1,048.90","1,048.90","1,038.41",Umoja Fund
17/07/2024,1721286720,2,"15,474,870,259.59","16,895,309.34",915.927,915.927,897.6085,Wekeza Maisha Fund
17/07/2024,1721286720,3,"19,459,145,395.75","28,961,938.25",671.8868,671.8868,665.168,Watoto Fund
17/07/2024,1721286720,4,"27,042,389,989.85","154,381,044.90",175.1665,175.1665,171.6632,Jikimu Fund
17/07/2024,1721286720,5,"1,167,841,954,002.15","2,842,347,100.86",410.8724,410.8724,410.8724,Liquid Fund
17/07/2024,1721286720,6,"680,972,261,637.02","5,786,715,942.56",117.6785,117.6785,117.6785,Bond Fund
16/07/2024,1721200980,1,"362,665,893,904.29","346,626,455.68","1,046.27","1,046.27","1,035.81",Umoja Fund
16/07/2024,1721200980,2,"15,469,543,096.72","16,912,682.73",914.6712,914.6712,896.3777,Wekeza Maisha Fund
16/07/2024,1721200980,3,"19,400,055,909.47","28,922,244.81",670.7659,670.7659,664.0583,Watoto Fund
16/07/2024,1721200980,4,"27,024,675,993.04","154,509,353.66",174.9064,174.9064,171.4083,Jikimu Fund
16/07/2024,1721200980,5,"1,166,731,559,552.72","2,840,452,535.72",410.7555,410.7555,410.7555,Liquid Fund
16/07/2024,1721200980,6,"679,635,623,376.31","5,776,976,082.83",117.6456,117.6456,117.6456,Bond Fund
15/07/2024,1721120760,1,"362,680,519,376.47","346,475,619.23","1,046.77","1,046.77","1,036.30",Umoja Fund
15/07/2024,1721120760,2,"15,448,905,604.60","16,889,912.91",914.6824,914.6824,896.3887,Wekeza Maisha Fund
15/07/2024,1721120760,3,"19,367,674,941.28","28,876,379.38",670.7099,670.7099,664.0028,Watoto Fund
15/07/2024,1721120760,4,"26,988,215,040.12","154,271,166.99",174.9401,174.9401,171.4413,Jikimu Fund
15/07/2024,1721120760,5,"1,162,431,096,388.25","2,830,789,223.58",410.6385,410.6385,410.6385,Liquid Fund
15/07/2024,1721120760,6,"677,988,305,184.03","5,764,595,794.92",117.6125,117.6125,117.6125,Bond Fund
12/07/2024,1721029140,1,"362,639,608,580.83","346,573,904.48","1,046.36","1,046.36","1,035.89",Umoja Fund
12/07/2024,1721029140,2,"15,429,169,288.50","16,880,834.22",914.0051,914.0051,895.725,Wekeza Maisha Fund
12/07/2024,1721029140,3,"19,351,212,994.67","28,873,695.13",670.2022,670.2022,663.5001,Watoto Fund
12/07/2024,1721029140,4,"27,079,700,719.10","154,896,315.46",174.8247,174.8247,171.3282,Jikimu Fund
12/07/2024,1721029140,5,"1,158,703,428,759.58","2,824,125,501.40",410.2875,410.2875,410.2875,Liquid Fund
12/07/2024,1721029140,6,"677,957,825,674.92","5,769,224,606.45",117.5128,117.5128,117.5128,Bond Fund
11/07/2024,1720772340,1,"361,757,698,738.69","346,462,366.48","1,044.15","1,044.15","1,033.71",Umoja Fund
11/07/2024,1720772340,2,"15,406,401,901.49","16,874,714.00",912.9874,912.9874,894.7277,Wekeza Maisha Fund
11/07/2024,1720772340,3,"19,303,038,009.19","28,848,355.90",669.1209,669.1209,662.4297,Watoto Fund
11/07/2024,1720772340,4,"27,008,488,499.72","154,700,112.63",174.5861,174.5861,171.0944,Jikimu Fund
11/07/2024,1720772340,5,"1,153,503,009,711.87","2,812,253,517.22",410.1704,410.1704,410.1704,Liquid Fund
11/07/2024,1720772340,6,"675,832,480,270.73","5,752,788,717.02",117.4791,117.4791,117.4791,Bond Fund
10/07/2024,1720684560,1,"362,041,818,764.93","346,400,982.73","1,045.15","1,045.15","1,034.70",Umoja Fund
10/07/2024,1720684560,2,"15,407,030,865.92","16,872,134.71",913.1643,913.1643,894.901,Wekeza Maisha Fund
10/07/2024,1720684560,3,"19,296,908,299.44","28,824,957.68",669.4514,669.4514,662.7569,Watoto Fund
10/07/2024,1720684560,4,"26,987,256,908.80","154,500,631.80",174.6741,174.6741,171.1806,Jikimu Fund
10/07/2024,1720684560,5,"1,151,546,080,422.96","2,808,243,553.15",410.0592,410.0592,410.0592,Liquid Fund
10/07/2024,1720684560,6,"675,394,761,274.43","5,750,649,648.12",117.4467,117.4467,117.4467,Bond Fund
09/07/2024,1720599540,1,"361,788,920,762.22","346,513,518.16","1,044.08","1,044.08","1,033.64",Umoja Fund
09/07/2024,1720599540,2,"15,401,282,868.48","16,877,634.02",912.5262,912.5262,894.2757,Wekeza Maisha Fund
09/07/2024,1720599540,3,"19,261,540,278.19","28,797,397.87",668.8639,668.8639,662.1753,Watoto Fund
09/07/2024,1720599540,4,"26,812,026,692.12","153,596,605.25",174.5613,174.5613,171.0701,Jikimu Fund
09/07/2024,1720599540,5,"1,147,261,058,557.25","2,798,622,130.46",409.9378,409.9378,409.9378,Liquid Fund
09/07/2024,1720599540,6,"674,055,238,135.39","5,740,852,423.21",117.4138,117.4138,117.4138,Bond Fund
08/07/2024,1720508520,1,"361,432,482,736.59","346,526,504.88","1,043.02","1,043.02","1,032.59",Umoja Fund
08/07/2024,1720508520,2,"15,374,119,187.05","16,859,286.47",911.9081,911.9081,893.6699,Wekeza Maisha Fund
08/07/2024,1720508520,3,"19,232,734,880.69","28,779,605.71",668.2765,668.2765,661.5938,Watoto Fund
